101,AAMUYÖ,M,MEL52X
10CC,DREADLOCK HOLIDAY,C,MICRPOY2
10CC,GOOG MORNING JUDGE,K,KONEPC
10CC,I'M NOT IN LOVE,C,MICRPOY2
2 MAANANTAI,MIXET TAHDO OLLA MUN KAA,M,SAT03
2 UNLIMITED,NO LIMIT,C,MICRPOY2
22 PISTEPIRKKO,BIRDY,C,MICRPOY2
2QUICK START,ÛHEGA MILJONEIST (EST),M_U,EST1
2QUICK START,NEIU MUSTAS KLEIDIS (EST),M_U,EST2
2QUICK START,OLEN LOOBUDA SUST SOOVINUD (EST),M_U,EST2
3 DOORS DOWN,HERE WITHOUT YOU,C,MICRPOY2
3 DOORS DOWN,KRYPTONITE,C,MICRPOY2
30 SECONDS TO MARS,THE KILL,C,MICRPOY2
38 SPECIAL,CAUGHT UP IN YOU,C,MICRPOY2
38 SPECIAL,HOLD ON LOOSELY,C,MICRPOY2
38 SPECIAL,ROCKIN' INTO THE NIGHT,C,MICRPOY2
38 SPECIAL,SECOND CHANCE,C,MICRPOY2
4 NON BLONDES,WHAT'S UP,K,KONEPC
4 NON BLONDES,WHAT'S UP,C,MICRPOY2
51 KOODIA,MUSTAT SYDÄMET,M,MEL52X
51 KOODIA,PUU,M,MEL40
A AALLON RYTMIORKESTERI,EXODUS,C,MICRPOY2
A AALLON RYTMIORKESTERI,KOP KOP,M,MG19
A AALLON RYTMIORKESTERI,MAJAKKA JA MERI,C_O,MICRPOY2
A AALLON RYTMIORKESTERI,NAHKAROTSI,M,M60'S
A AALLON RYTMIORKESTERI,OI VENUS,M,FIN41B1
A AALLON RYTMIORKESTERI,SAATTUE MUURMANSKIIN,C_O,MICRPOY2
A AALLON RYTMIORKESTERI,SAN BERNADINO (SUN BERNADINO),M,MEL03
A AALLON RYTMIORKESTERI,TÄHDET MEREN YLLÄ,M,MDV66
A AALLON RYTMIORKESTERI,TÄHDET MEREN YLLÄ,C,MICRPOY2
A AIMO JA DALLAPE ORKESTERI,ARPISET HAAVAT,M,FIN29B9
A AIMO JA DALLAPE ORKESTERI,TAMMERKOSKI,C,MICRPOY2
A-TYYPPI,IHANAA LEIJONAT IHANAA,K,KONEPC
AAMUPOJAT,ILLAN VIIMEINEN HIDAS,M,SAT07
AARNE TENKANEN,EDESTÄ JA TAKAA,M,MEL54
AARNE TENKANEN,EDESTÄ JA TAKAA,C,MICRPOY2
AARNE TENKANEN,HEMAISEVAN SEKSIKÄS PÖRRÖPÄÄ,K,KONEPC
AARNE TENKANEN,HEMAISEVAN SEKSIKÄS PÖRRÖPÄÄ,M,MDV58
AARNE TENKANEN,NÄILLÄ KORTEILLA MENNÄÄN,C,MICRPOY2
AARNE TENKANEN,SAAPPAAT JALASSA LÄHDETÄÄN,C,MICRPOY2
AARNO RANINEN,ON HETKI,M,FIN28A3
AARNO RANINEN,ON HETKI,C,MICRPOY2
